istat,cap,coordinate,capoluogoLabel,regioneLabel
001246,10090,Point(7.816666666 45.316666666),Torino,Piemonte
001203,10040,Point(7.9 44.866666666),Torino,Piemonte
001222,10060,Point(7.333333333 44.916666666),Torino,Piemonte
001205,10060,Point(7.266666666 44.866666666),Torino,Piemonte
001236,10080,Point(7.783333333 45.25),Torino,Piemonte
001232,10050,Point(6.884166666 45.072222222),Torino,Piemonte
001202,10060,Point(7.05 44.883333333),Torino,Piemonte
001207,10080,Point(7.6 45.35),Torino,Piemonte
001221,10070,Point(7.583333333 45.316666666),Torino,Piemonte
001206,10080,Point(7.616666666 45.366666666),Torino,Piemonte
001240,10070,Point(7.655555555 45.225277777),Torino,Piemonte
001244,10090,Point(7.8 45.333333333),Torino,Piemonte
001217,10086,Point(7.716666666 45.333333333),Torino,Piemonte
001215,10020,Point(7.866666666 44.983333333),Torino,Piemonte
001219,10098,Point(7.527222222 45.0725),Torino,Piemonte
001209,10010,Point(7.833333333 45.533333333),Torino,Piemonte
001253,10020,Point(7.966666666 45.183333333),Torino,Piemonte
001210,10010,Point(7.8 45.566666666),Torino,Piemonte
001208,10010,Point(7.783333333 45.433333333),Torino,Piemonte
001249,10099,Point(7.753611111 45.103888888),Torino,Piemonte
001243,10040,Point(7.533333333 45.15),Torino,Piemonte
001211,10090,Point(7.433333333 45.05),Torino,Piemonte
001234,10060,Point(7.05 44.933333333),Torino,Piemonte
001233,10010,Point(7.85 45.466666666),Torino,Piemonte
001227,10060,Point(7.133333333 45.0),Torino,Piemonte
001226,10060,Point(7.2 44.8),Torino,Piemonte
001225,10030,Point(7.966666666 45.25),Torino,Piemonte
001235,10010,Point(7.833333333 45.433333333),Torino,Piemonte
001250,10060,Point(7.316666666 44.916666666),Torino,Piemonte
001229,10040,Point(7.383333333 45.133333333),Torino,Piemonte
001247,10010,Point(7.816666666 45.4),Torino,Piemonte
001212,10080,Point(7.5 45.433333333),Torino,Piemonte
001245,10050,Point(7.166666666 45.133333333),Torino,Piemonte
001214,10040,Point(7.533333333 45.033333333),Torino,Piemonte
001216,10080,Point(7.649 45.33042),Torino,Piemonte
001218,10040,Point(7.716666666 45.25),Torino,Piemonte
001248,10077,Point(7.63052 45.21705),Torino,Piemonte
001224,10080,Point(7.55 45.5),Torino,Piemonte
001204,10065,Point(7.216666666 44.9),Torino,Piemonte
001238,10080,Point(7.616666666 45.383333333),Torino,Piemonte
001231,10080,Point(7.683333333 45.366666666),Torino,Piemonte
001251,10080,Point(7.666666666 45.35),Torino,Piemonte
001239,10050,Point(7.216666666 45.133333333),Torino,Piemonte
001228,10090,Point(7.466666666 45.066666666),Torino,Piemonte
001220,10070,Point(7.566666666 45.2),Torino,Piemonte
001201,10060,Point(6.95 45.016666666),Torino,Piemonte
001223,10090,Point(7.8675 45.389444444),Torino,Piemonte
001252,10090,Point(7.85 45.15),Torino,Piemonte
001242,10065,Point(7.233333333 44.9),Torino,Piemonte
001230,10010,Point(7.75 45.466666666),Torino,Piemonte
001237,10070,Point(7.616666666 45.25),Torino,Piemonte
001213,10090,Point(7.883333333 45.116666666),Torino,Piemonte
